2016-03-19 01:16:23,051 [Worker-45] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: RESTExampleUMKC:RESTExampleUMKC:0.0.1-SNAPSHOT @ C:\Users\sushm\Lab6\RESTExampleUMKC\pom.xml.
2016-03-19 01:16:24,163 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-19 01:16:24,170 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\sushm\Lab6\RESTExampleUMKC\src\main\resources
2016-03-19 01:16:24,175 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-19 01:16:24,181 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\sushm\Lab6\RESTExampleUMKC\src\test\resources
2016-03-19 01:16:50,244 [Worker-44] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-19 01:16:50,251 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\sushm\Lab6\RESTExampleUMKC\src\main\resources
2016-03-19 01:16:50,255 [Worker-44] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-19 01:16:50,262 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\sushm\Lab6\RESTExampleUMKC\src\test\resources
2016-03-19 01:19:36,317 [Worker-48] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: RESTExampleUMKC:RESTExampleUMKC:0.0.1-SNAPSHOT @ C:\Users\sushm\Lab6\RESTExampleUMKC\pom.xml.
2016-03-19 01:19:37,041 [Worker-48] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-19 01:19:37,048 [Worker-48] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\sushm\Lab6\RESTExampleUMKC\src\main\resources
2016-03-19 01:19:37,052 [Worker-48] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-19 01:19:37,056 [Worker-48] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\sushm\Lab6\RESTExampleUMKC\src\test\resources
2016-03-19 01:19:37,059 [Worker-48] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of RESTExampleUMKC
